job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
f1a274c36f60bff9,myjobmag,communications-consultant-international-alert,Communications Consultant at International Alert,International Alert,"International Alert was founded in 1986 to help people find peaceful solutions to conflict. At that time, the number of conflicts between countries was decreasing, but there was an alarming increas...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/communications-consultant-international-alert,2026-09-05T21:20:26+00:00
09067c6bafef0633,myjobmag,finance-assistant-international-alert,Finance Assistant at International Alert,International Alert,"International Alert was founded in 1986 to help people find peaceful solutions to conflict. At that time, the number of conflicts between countries was decreasing, but there was an alarming increas...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/finance-assistant-international-alert,2026-09-05T21:20:26+00:00
86b06cda3325c88a,myjobmag,van-sales-representative-vsr-total-data-limited-1,Van Sales Representative (VSR) at Total Data Limited,Total Data Limited,"TDL is a well established full service Internet provider. We offer the best managed dedicated server solutions available combined with unbeatable support and maintenance. Since 1994, TDL has Hosted...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/van-sales-representative-vsr-total-data-limited-1,2026-09-05T21:20:26+00:00
32adfdc21a5feffd,myjobmag,business-developer-bill-studios-1,Business Developer at Bill Studios,,"Bill Studios is a creative production company based in Lagos, specializing in event coverage, photography, videography, and media production. We handle concerts, live events, brand shoots, and studio...",,Nigeria,unknown,,,,,,,,,,,Software Development,https://www.myjobmag.com/job/business-developer-bill-studios-1,2026-09-05T21:20:26+00:00
164a2b377032f3a0,myjobmag,solar-sales-executive-toyomax-energy-solution-enterprise,Solar Sales Executive at Toyomax Energy Solution Enterprise,Toyomax Energy Solution Enterprise,"Toyomax Energy Solution Enterprise is a clean energy and power management company based in Lagos, Nigeria. They specialize in providing commercial and industrial solar, lithium battery storage systems...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/solar-sales-executive-toyomax-energy-solution-enterprise,2026-09-05T21:20:26+00:00
c44780f249ca7795,myjobmag,senior-sales-executive-edves-digital-education-1,Senior Sales Executive at Edves Digital Education,Edves Digital Education,"The most easy and secure web tool platform that encompasses all school management needs. We address specific challenges with capturing data, paperwork, stress, giving speed to teaching and learning ac...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/senior-sales-executive-edves-digital-education-1,2026-09-05T21:20:30+00:00
2e231c64103b9db0,myjobmag,technical-services-manager-telamo-properties,Technical Services Manager,Telamo Properties,"Telamo Properties is a technology driven real estate company transforming how people access housing. We simplify the process of finding, managing, and paying for quality residential homes, making rent...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/technical-services-manager-telamo-properties,2026-09-05T21:20:30+00:00
6f7768958fd7db50,myjobmag,associate-medical-officer-reliance-hmo,Associate Medical Officer,Reliance HMO,"We’re a health insurance company that acts like a technology company. We’re using software, data science and telemedicine to make health insurance more affordable, easier to access and mor...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/associate-medical-officer-reliance-hmo,2026-09-05T21:20:30+00:00
575bdeee204e6b5f,myjobmag,associate-medical-laboratory-scientist-rivers-reliance-hmo,Associate Medical Laboratory Scientist - Rivers,Reliance HMO,"We’re a health insurance company that acts like a technology company. We’re using software, data science and telemedicine to make health insurance more affordable, easier to access and mor...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/associate-medical-laboratory-scientist-rivers-reliance-hmo,2026-09-05T21:20:30+00:00
5864dd367c283908,myjobmag,associate-medical-laboratory-scientist-lagos-reliance-hmo,Associate Medical Laboratory Scientist - Lagos,Reliance HMO,"We’re a health insurance company that acts like a technology company. We’re using software, data science and telemedicine to make health insurance more affordable, easier to access and mor...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/associate-medical-laboratory-scientist-lagos-reliance-hmo,2026-09-05T21:20:30+00:00
